"id","municipio","data_envio"
97,Borrazópolis,2025-02-10 08:20:21.596
68,Castro,2025-01-15 12:36:30.141
89,Rio Negro,2025-02-10 09:05:48.242
68,Castro,2025-02-07 08:35:46.807
77,Reserva do Iguaçu,2025-02-04 14:36:08.220
110,Apucarana,2025-02-10 15:00:36.163
89,Rio Negro,2025-02-10 11:09:04.459
113,Colorado,2025-02-05 17:07:36.799
79,Santa Maria do Oeste,2025-02-05 17:01:11.445
87,Mato Rico,2025-02-07 08:31:50.916
96,Ibaiti,2025-02-10 08:55:32.577
97,Borrazópolis,2025-02-10 08:09:48.639
90,Barracão,2025-02-07 15:13:15.991
106,Tijucas do Sul,2025-02-06 16:42:20.072
82,Campo Magro,2025-02-10 16:50:39.900
107,Capanema,2025-02-10 11:41:56.408
71,Cruzeiro do Sul,2025-02-07 14:36:59.372
108,Jaguariaíva,2025-02-04 17:08:00.325
116,Cambará,2025-02-10 11:16:23.317
104,Nova Tebas,2025-02-10 14:44:41.470
117,Mandaguaçu,2025-02-07 11:50:47.016
72,Quedas do Iguaçu,2025-02-05 15:25:00.180
79,Santa Maria do Oeste,2025-02-10 09:22:59.995
112,Laranjeiras do Sul,2025-02-05 16:25:17.175
117,Mandaguaçu,2025-02-07 11:41:08.314
115,Kaloré,2025-02-07 15:49:43.915
69,Mandaguari,2025-02-04 21:25:58.076
74,Presidente Castelo Branco,2025-02-04 19:10:18.525
97,Borrazópolis,2025-02-10 08:20:21.734
105,Jardim Alegre,2025-02-07 14:12:33.178
99,Santa Mariana,2025-02-10 16:13:04.771
92,Ribeirão Claro,2025-02-10 15:38:51.163
95,Atalaia,2025-02-07 10:07:08.738
109,Paraíso do Norte,2025-02-11 14:19:35.517
68,Castro,2025-02-14 08:34:14.414
12,Céu Azul,2025-02-26 10:14:52.632
98,São João do Triunfo,2025-02-12 11:54:21.251
85,Francisco Beltrão,2025-02-18 15:49:25.952
106,Tijucas do Sul,2025-02-10 15:19:53.954
68,Castro,2025-02-27 09:13:49.846
4,Boa Vista da Aparecida,2025-03-21 14:35:01.769
9,Capitão Leônidas Marques,2025-03-06 15:45:01.078
21,Guaraniaçu,2025-03-08 21:14:48.632
15,Diamante do Sul,2025-03-10 14:16:13.553
46,São José das Palmeiras,2025-03-11 09:35:38.784
80, Amaporã,2025-03-23 18:38:12.071
33,Missal,2025-03-18 10:02:02.826
22,Ibema,2025-03-24 14:06:10.180
14,Diamante D'Oeste,2025-03-19 15:51:43.945
81,São João do Ivaí,2025-03-20 11:43:21.139
102,Palmital,2025-03-19 16:41:49.308
102,Palmital,2025-03-21 08:53:59.615
6,Brasilândia do Sul,2025-03-20 15:22:14.905
44,Santa Tereza do Oeste,2025-03-20 13:48:50.212
7,Cafelândia,2025-03-20 16:48:16.227
101,Campina da Lagoa,2025-03-20 16:56:40.714
53,Tupãssi,2025-03-12 08:36:02.225
91,Marmeleiro,2025-03-25 08:39:59.350
103,Lapa,2025-03-18 15:02:44.112
76,Cerro Azul,2025-03-27 10:44:03.171
68,Castro,2025-03-25 09:56:52.588
68,Castro,2025-03-25 13:17:17.060
73,Santa Mônica,2025-03-25 13:41:15.344
101,Campina da Lagoa,2025-03-21 08:51:04.476
39,Pato Bragado,2025-02-27 13:40:14.758
68,Castro,2025-03-27 08:57:32.047
78,Jaguapitã,2025-03-17 15:20:37.452
100,Santana do Itararé,2025-03-27 11:56:37.927
86,Realeza,2025-03-25 15:01:22.964
75,Enéas Marques,2025-03-25 08:17:47.597
83,São João do Caiuá,2025-03-28 16:25:13.765
83,São João do Caiuá,2025-03-28 16:37:04.227
36,Nova Santa Rosa,2025-03-31 10:04:57.705
31,Medianeira,2025-03-18 09:08:57.649
52,Três Barras do Paraná,2025-03-20 11:23:44.128
23,Iguatu,2025-03-13 15:31:37.177
84,Campo Largo,2025-03-21 09:41:12.047
114,General Carneiro,2025-03-26 15:00:02.908
24,Iracema do Oeste,2025-03-18 16:11:16.215
118,Ortigueira,2025-03-24 15:03:05.802
37,Ouro Verde do Oeste,2025-03-27 15:04:13.667
48,São Pedro do Iguaçu,2025-04-01 06:56:56.286
40,Quatro Pontes,2025-04-01 13:41:55.915
70, Alto Paraná,2025-04-01 14:01:47.299
21,Guaraniaçu,2025-04-02 14:16:49.620
70, Alto Paraná,2025-04-02 14:30:13.888
30,Matelândia,2025-04-02 16:04:48.018
50,Terra Roxa,2025-04-03 14:39:35.000
50,Terra Roxa,2025-04-04 08:03:56.102
68,Castro,2025-04-04 10:07:31.647
25,Itaipulândia,2025-04-04 15:16:05.253
70, Alto Paraná,2025-04-06 11:57:39.034
41,Ramilândia,2025-04-07 09:15:12.598
70, Alto Paraná,2025-04-09 10:42:26.030
49,Serranópolis do Iguaçu,2025-04-08 16:54:54.563
5,Braganey,2025-04-10 09:25:59.307
10,Cascavel,2025-04-10 14:45:42.807
94,Salgado Filho,2025-04-14 16:45:39.709
50,Terra Roxa,2025-04-15 07:44:39.030
93,Rio Branco do Sul,2025-04-01 16:21:51.722
50,Terra Roxa,2025-04-15 10:22:08.194
17,Formosa do Oeste,2025-04-15 10:38:37.459
50,Terra Roxa,2025-04-15 11:31:12.029
50,Terra Roxa,2025-04-15 14:06:35.926
35,Nova Aurora,2025-04-16 14:23:42.648
42,Santa Helena,2025-04-25 11:19:56.860
47,São Miguel do Iguaçu,2025-04-22 09:17:11.439
50,Terra Roxa,2025-05-12 14:01:56.580
