id,municipio,data_envio
68,Castro,2025-01-15 12:36:30.141
77,Reserva do Iguaçu,2025-02-04 14:36:08.220
108,Jaguariaíva,2025-02-04 17:08:00.325
74,Presidente Castelo Branco,2025-02-04 19:10:18.525
69,Mandaguari,2025-02-04 21:25:58.076
72,Quedas do Iguaçu,2025-02-05 15:25:00.180
112,Laranjeiras do Sul,2025-02-05 16:25:17.175
113,Colorado,2025-02-05 17:07:36.799
87,Mato Rico,2025-02-07 08:31:50.916
68,Castro,2025-02-07 08:35:46.807
95,Atalaia,2025-02-07 10:07:08.738
117,Mandaguaçu,2025-02-07 11:50:47.016
105,Jardim Alegre,2025-02-07 14:12:33.178
71,Cruzeiro do Sul,2025-02-07 14:36:59.372
90,Barracão,2025-02-07 15:13:15.991
115,Kaloré,2025-02-07 15:49:43.915
97,Borrazópolis,2025-02-10 08:20:21.734
96,Ibaiti,2025-02-10 08:55:32.577
79,Santa Maria do Oeste,2025-02-10 09:22:59.995
89,Rio Negro,2025-02-10 11:09:04.459
116,Cambará,2025-02-10 11:16:23.317
107,Capanema,2025-02-10 11:41:56.408
104,Nova Tebas,2025-02-10 14:44:41.470
110,Apucarana,2025-02-10 15:00:36.163
106,Tijucas do Sul,2025-02-10 15:19:53.954
92,Ribeirão Claro,2025-02-10 15:38:51.163
99,Santa Mariana,2025-02-10 16:13:04.771
82,Campo Magro,2025-02-10 16:50:39.900
109,Paraíso do Norte,2025-02-11 14:19:35.517
98,São João do Triunfo,2025-02-12 11:54:21.251
68,Castro,2025-02-14 08:34:14.414
85,Francisco Beltrão,2025-02-18 15:49:25.952
12,Céu Azul,2025-02-26 10:14:52.632
68,Castro,2025-02-27 09:13:49.846
39,Pato Bragado,2025-02-27 13:40:14.758
9,Capitão Leônidas Marques,2025-03-06 15:45:01.078
21,Guaraniaçu,2025-03-08 21:14:48.632
15,Diamante do Sul,2025-03-10 14:16:13.553
46,São José das Palmeiras,2025-03-11 09:35:38.784
53,Tupãssi,2025-03-12 08:36:02.225
23,Iguatu,2025-03-13 15:31:37.177
78,Jaguapitã,2025-03-17 15:20:37.452
31,Medianeira,2025-03-18 09:08:57.649
33,Missal,2025-03-18 10:02:02.826
103,Lapa,2025-03-18 15:02:44.112
24,Iracema do Oeste,2025-03-18 16:11:16.215
14,Diamante D'Oeste,2025-03-19 15:51:43.945
52,Três Barras do Paraná,2025-03-20 11:23:44.128
81,São João do Ivaí,2025-03-20 11:43:21.139
44,Santa Tereza do Oeste,2025-03-20 13:48:50.212
6,Brasilândia do Sul,2025-03-20 15:22:14.905
7,Cafelândia,2025-03-20 16:48:16.227
101,Campina da Lagoa,2025-03-21 08:51:04.476
102,Palmital,2025-03-21 08:53:59.615
84,Campo Largo,2025-03-21 09:41:12.047
4,Boa Vista da Aparecida,2025-03-21 14:35:01.769
80, Amaporã,2025-03-23 18:38:12.071
22,Ibema,2025-03-24 14:06:10.180
118,Ortigueira,2025-03-24 15:03:05.802
75,Enéas Marques,2025-03-25 08:17:47.597
91,Marmeleiro,2025-03-25 08:39:59.350
68,Castro,2025-03-25 09:56:52.588
68,Castro,2025-03-25 13:17:17.060
73,Santa Mônica,2025-03-25 13:41:15.344
86,Realeza,2025-03-25 15:01:22.964
114,General Carneiro,2025-03-26 15:00:02.908
68,Castro,2025-03-27 08:57:32.047
76,Cerro Azul,2025-03-27 10:44:03.171
100,Santana do Itararé,2025-03-27 11:56:37.927
37,Ouro Verde do Oeste,2025-03-27 15:04:13.667
83,São João do Caiuá,2025-03-28 16:37:04.227
36,Nova Santa Rosa,2025-03-31 10:04:57.705
48,São Pedro do Iguaçu,2025-04-01 06:56:56.286
40,Quatro Pontes,2025-04-01 13:41:55.915
93,Rio Branco do Sul,2025-04-01 16:21:51.722
21,Guaraniaçu,2025-04-02 14:16:49.620
30,Matelândia,2025-04-02 16:04:48.018
68,Castro,2025-04-04 10:07:31.647
25,Itaipulândia,2025-04-04 15:16:05.253
41,Ramilândia,2025-04-07 09:15:12.598
49,Serranópolis do Iguaçu,2025-04-08 16:54:54.563
70, Alto Paraná,2025-04-09 10:42:26.030
5,Braganey,2025-04-10 09:25:59.307
10,Cascavel,2025-04-10 14:45:42.807
94,Salgado Filho,2025-04-14 16:45:39.709
17,Formosa do Oeste,2025-04-15 10:38:37.459
35,Nova Aurora,2025-04-16 14:23:42.648
47,São Miguel do Iguaçu,2025-04-22 09:17:11.439
42,Santa Helena,2025-04-25 11:19:56.860
50,Terra Roxa,2025-05-12 14:01:56.580
10,Cascavel,2025-05-15 15:09:02.417
28,Marechal Cândido Rondon,2025-05-21 12:10:44.500
67,Belém,2025-05-25 22:45:35.795
1,Altônia,2025-07-09 14:28:46.531
3,Assis Chateaubriand,2025-07-09 18:57:31.790
45,Santa Terezinha de Itaipu,2025-07-15 09:46:04.516
26,Jesuítas,2025-07-16 14:26:39.337
68,Castro,2025-07-21 11:20:54.967
68,Castro,2025-07-21 11:35:20.564
51,Toledo,2025-07-29 10:02:01.621
16,Entre Rios do Oeste,2025-08-05 14:50:20.056
34,Mundo Novo,2025-08-06 13:06:53.479
