id,municipio,uvr,uvr_nro,data_envio
73,Castro,RECICLACASTRO,1,2025-07-21 11:21:38.380
89,Jaguariaíva,JAGUARIAÍVA - UVR 01,1,2025-02-07 16:18:15.246
55,Mundo Novo,MUNDO NOVO - UVR 01,1,2025-08-06 13:17:13.662
73,Castro,RECICLACASTRO,1,2025-08-18 15:35:23.273
55,Mundo Novo,MUNDO NOVO - UVR 01,1,2025-08-20 10:03:56.822
23,Palotina,PALOTINA - UVR 01,1,2025-08-21 11:00:57.821
61,Céu Azul,CÉU AZUL - UVR 01,1,2025-08-22 10:01:02.492
73,Castro,RECICLACASTRO,1,2025-09-01 15:30:19.205
35,Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU - UVR 01,1,2025-08-19 14:33:40.724
73,Castro,RECICLACASTRO,1,2025-09-15 11:30:33.290
149,Paranhos,PARANHOS - UVR 01,1,2025-09-16 09:32:42.678
137,Cafezal do Sul,CAFEZAL DO SUL - UVR 01,1,2025-09-17 09:55:54.571
164,Santa Cruz de Monte Castelo,SANTA CRUZ DO MONTE CASTELO - UVR 01,1,2025-09-18 11:22:29.932
148,Nova Olímpia,NOVA OLIMPIA - UVR 01,1,2025-09-19 09:28:36.118
151,Tacuru,TACURU - UVR 01,1,2025-09-11 11:48:04.637
142,Iporã,IPORÃ - UVR 01,1,2025-09-22 14:01:34.297
9,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 01,1,2025-09-25 08:55:03.909
165,Santa Isabel do Ivaí,SANTA ISABEL DO IVAI - UVR 01,1,2025-09-26 18:17:37.599
73,Castro,RECICLACASTRO,1,2025-09-29 11:32:14.959
154,Cruzeiro do Oeste,CRUZEIRO DO OESTE - UVR 01,1,2025-10-01 10:47:44.729
136,Caarapó,CAARAPÓ - UVR 01,1,2025-10-02 12:49:37.997
172,Pérola,PÉROLA - UVR 01,1,2025-10-03 10:28:16.820
176,Tapira,TAPIRA - UVR 01,1,2025-10-06 16:34:13.965
143,Itaquiraí,ITAQUIRAÍ - UVR 01,1,2025-10-07 11:02:32.667
104,São João do Triunfo,SÃO JOÃO DO TRIUNFO - UVR 01,1,2025-07-24 09:35:28.017
153,Umuarama,UMUARAMA - UVR 01,1,2025-09-24 08:53:41.578
73,Castro,RECICLACASTRO,1,2025-10-13 13:39:51.740
94,Mandaguari,MANDAGUARI - UVR 01,1,2025-10-15 16:33:00.047
122,Palmital,PALMITAL - UVR 01,1,2025-10-20 13:44:18.873
155,Diamante do Norte,DIAMANTE DO NORTE - UVR 01,1,2025-10-27 14:47:54.583
159,Nova Londrina,NOVA LONDRINA - UVR 01,1,2025-10-28 10:21:03.344
73,Castro,RECICLACASTRO,1,2025-10-29 09:33:16.555
20,Assis Chateaubriand,ASSIS CHATEAUBRIAND - UVR 01,1,2025-07-21 14:32:24.744
73,Castro,RECICLACASTRO,1,2025-09-15 14:20:09.070
167,Xambrê,XAMBRE - UVR 01,1,2025-09-25 08:58:36.267
147,Naviraí,NAVIRAÍ - UVR 01,1,2025-09-24 09:02:38.843
175,Ivaté,IVATÉ - UVR 01,1,2025-09-29 15:20:07.155
144,Juti,JUTI - UVR 01,1,2025-09-16 15:50:25.793
145,Maria Helena,MARIA HELENA - UVR 01,1,2025-10-01 11:03:11.926
168,Eldorado,ELDORADO - UVR 01,1,2025-09-22 14:44:02.169
157,Loanda,LOANDA - UVR 01,1,2025-10-07 13:39:08.522
133,Alto Piquiri,ALTO PIQUIRI - UVR 01,1,2025-10-13 14:55:34.913
69,Belém,BELÉM - UVR 03 - CONCAVES,3,2025-01-10 00:39:19.872
73,Castro,RECICLACASTRO,1,2025-01-15 12:41:34.740
75,Apucarana,APUCARANA - UVR 01,1,2025-02-05 13:47:22.238
101,Rio Negro,RIO NEGRO - UVR 01,1,2025-02-05 13:49:51.461
82,Capanema,CAPANEMA - UVR 01,1,2025-02-05 16:52:38.387
3,Altônia,ALTÔNIA - UVR 01,1,2025-02-06 10:41:15.572
92,Laranjeiras do Sul,LARANJEIRAS DO SUL - UVR 01,1,2025-02-06 15:23:22.779
80,Cambará,CAMBARA - UVR 01,1,2025-02-06 16:02:09.238
77,Barracão,BARRACÃO - UVR 01,1,2025-02-06 16:29:07.698
86,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 01,1,2025-02-07 08:26:16.117
73,Castro,RECICLACASTRO,1,2025-02-07 09:28:49.126
