"gm_nome","guvr_id","guvr_numero","guvr_nome","media_1_receita_vendas","media_1_receita_servicos","media_1_despesas","media_1_material_reciclado","media_1_rejeito","media_1_total_material_processado","media_1_postos_de_trabalho","media_1_renda_media","media_2_receita_vendas","media_2_receita_servicos","media_2_despesas","media_2_material_reciclado","media_2_rejeito","media_2_total_material_processado","media_2_postos_de_trabalho","media_2_renda_media"
Altônia,3,1,ALTÔNIA - UVR 01,28311.08,0,3081.08,46.24,4693.80,3957.74,16,1916.67,37244.57,24811.45,6245.06,39.26,1245.71,1284.98,15,2285.71
Anahy,39,1,ANAHY - UVR 01,5394.25,0,0,8.65,0,8.65,5,1831.02,6983.97,4323.95,845.91,8.56,1950.20,983.66,5,2658.70
Assis Chateaubriand,20,1,ASSIS CHATEAUBRIAND - UVR 01,48685.63,0,3032.43,65.97,21249.67,21315.63,35,2242.06,62381.14,24307.88,3829.46,64.27,5108.53,5172.80,39,2599.46
Belém,71,1,BELÉM - UVR 01 - ARAL,,,,,,,,,36019.25,26000.00,21894.02,34.34,20.00,44.34,25,500.00
Belém,70,2,BELÉM - UVR 02 - ACCSB,,,,,,,,,31198.48,28250.00,9473.61,57.18,2.20,59.38,31,835.00
Belém,69,3,BELÉM - UVR 03 - CONCAVES,,,,,,,,,21693.10,8000.00,7923.31,17.84,1.13,19.01,17,1300.00
Belém,72,4,BELÉM - UVR 04 - FILHOS DO SOL,,,,,,,,,21935.76,17000.00,2034.74,41.67,2.25,43.92,10,1788.43
Boa Vista da Aparecida,16,1,BOA VISTA DA APARECIDA - UVR 01,11586.61,0,0,18.37,3060.00,528.37,10,1174.91,15194.68,4000.00,3475.00,17.98,3.04,18.99,11,1329.71
Braganey,28,1,BRAGANEY - UVR 01,11008.93,0,1727.33,21.04,1942.40,1639.70,8,1706.13,13795.07,8166.92,1530.46,16.28,2.33,18.22,10,2157.77
Brasilândia do Sul,29,1,BRASILÂNDIA DO SUL - UVR 01,5685.95,0,0,14.05,2122.83,2136.88,7,1612.10,6658.62,5336.70,227.80,9.71,363.75,373.46,6,2136.95
Cafelândia,30,1,CAFELÂNDIA - UVR 01,39716.05,0,0,74.64,17752.95,8951.12,53,1877.52,47709.76,36404.21,4629.00,66.84,23.89,85.95,53,2009.59
Campo Bonito,60,1,CAMPO BONITO - UVR 01,10078.54,0,5679.64,11.57,4913.83,4925.41,9,2620.17,14613.91,20045.92,7737.83,12.90,674.82,687.72,8,2941.75
Capitão Leônidas Marques,18,1,CAPITÃO LEONIDAS MARQUES - UVR 01,44528.27,0,17769.41,56.35,8405.42,8461.77,17,2249.64,60675.70,22062.91,29424.68,60.55,1435.85,1496.40,19,2842.82
Cascavel,57,1,CASCAVEL - UVR 01 - MANAUS,37168.13,0,10211.46,60.27,19771.10,19831.37,26,1087.81,61687.35,12290.42,29110.04,82.79,2180.04,1899.49,22,2039.74
Cascavel,41,2,CASCAVEL - UVR 02 - CAREMEL,50080.24,0,24358.59,93.50,13292.50,8955.17,30,1565.07,64301.43,12992.47,24821.97,83.84,2270.07,2353.91,25,2179.30
Cascavel,42,3,CASCAVEL - UVR 03 - SANTA CRUZ,35907.44,0,18458.36,55.56,16464.80,14896.56,21,958.89,34305.12,13258.88,21868.04,41.12,3426.38,3467.49,22,1100.33
Cascavel,43,4,CASCAVEL - UVR 04 - CASCAVEL VELHO,22263.01,0,8684.08,32.39,12235.02,12267.41,21,880.26,38233.76,15652.55,15650.36,34.64,2818.38,2853.02,22,1745.03
Cascavel,44,5,CASCAVEL - UVR 05 - BRASÍLIA,25139.33,0,12806.06,34.00,7491.89,5028.59,28,1115.00,32014.36,15956.04,16500.28,37.08,1875.99,1913.07,23,2143.52
Cascavel,47,6,CASCAVEL - UVR 06 - QUEBEC,11162.41,0,6317.97,12.57,11079.50,11092.07,14,563.06,20033.90,6945.59,7658.17,17.70,486.29,503.99,16,1159.37
Catanduvas,17,1,CATANDUVAS - UVR 01,18159.16,0,1388.93,23.72,3720.00,3743.72,9,3016.67,27401.93,11874.37,1589.61,26.77,469.79,496.56,10,3498.67
Céu Azul,61,1,CÉU AZUL - UVR 01,65830.53,0,0,56.49,8460.20,7106.66,15,1523.91,93654.61,7219.60,56089.60,66.96,1144.03,1210.98,15,1718.11
Colorado,83,1,COLORADO - UVR 01,,,,,,,,,54448.79,16400.46,16564.62,60.66,3.49,64.15,25,2090.26
Corbélia,24,1,CORBÉLIA - UVR 01,41415.07,0,3563.33,68.07,18275.20,15297.40,43,2616.67,47524.73,51997.13,6655.77,62.59,15.44,78.02,41,2583.33
Diamante D'Oeste,27,1,DIAMANTE D'OESTE - UVR 01,11575.41,0,3603.67,20.51,2601.64,2188.55,13,1507.96,13462.87,12207.27,5593.94,19.24,3.28,20.88,13,1871.87
Diamante do Sul,1,1,DIAMANTE DO SUL - UVR 01,9560.54,0,2480.93,5.28,0,5.28,1,2499.37,4138.69,200.00,1413.33,3.45,0,3.45,1,3203.39
