"guvr_id","guvr_numero","guvr_nome","gm_nome","data_de_envio","data_de_referencia","receita_vendas","receita_servicos","despesas","material_reciclado","rejeito","total_material_processado","postos_de_trabalho","renda_media","nome_tc_uvr"
3,1,ALTÔNIA - UVR 01,Altônia,2025-02-10,2025-01-10,47321.799999999996,15779.5,17122.59,41.8025,5.9,47.697500000000005,15,3000.0,Paula Tatiana Santana Vechi
3,1,ALTÔNIA - UVR 01,Altônia,2025-06-17,2025-05-01,48417.51000000001,15779.5,16636.09,64.2684,8.33,72.5984,15,3500.0,Paula Tatiana Santana Vechi
3,1,ALTÔNIA - UVR 01,Altônia,2025-03-21,2025-02-01,51204.350000000006,15779.5,15287.25,60.494,7.4,67.894,15,3000.0,Paula Tatiana Santana Vechi
3,1,ALTÔNIA - UVR 01,Altônia,2025-04-09,2025-03-01,50790.19,15779.5,17540.75,48.62358999999999,5.28,53.908089999999994,17,3500.0,Paula Tatiana Santana Vechi
3,1,ALTÔNIA - UVR 01,Altônia,2025-02-26,2024-11-01,34460.29,14811.45,2630.77,45.8125,4.47,50.286500000000004,15,2500.0,Paula Tatiana Santana Vechi
3,1,ALTÔNIA - UVR 01,Altônia,2025-02-06,2024-12-06,36688.91999999999,14811.45,28957.079999999998,33.1163,3.52,36.636300000000006,14,2500.0,Paula Tatiana Santana Vechi
3,1,ALTÔNIA - UVR 01,Altônia,2025-05-14,2025-04-01,51429.0,15779.5,15773.039999999999,46.077,6.85,52.927,16,3500.0,Paula Tatiana Santana Vechi
107,1,AMAPORÃ - UVR 01, Amaporã,2025-05-05,2025-04-01,3303.2400000000002,0.0,100.0,6.4392000000000005,8.4,14.839200000000002,6,533.0,Maria Regina Willers
107,1,AMAPORÃ - UVR 01, Amaporã,2025-03-26,2025-02-01,5429.57,0.0,100.0,9.84,10.5,20.34,6,891.0,Maria Regina Willers
107,1,AMAPORÃ - UVR 01, Amaporã,2025-03-27,2025-01-01,5426.06,0.0,100.0,6.87,8.65,15.52,4,1187.81,Maria Regina Willers
107,1,AMAPORÃ - UVR 01, Amaporã,2025-06-03,2025-05-01,8102.629999999999,0.0,100.0,15.065600000000002,10.1,25.1656,6,1333.43,Maria Regina Willers
107,1,AMAPORÃ - UVR 01, Amaporã,2025-04-09,2025-03-01,3544.47,0.0,100.0,5.07,8.5,13.57,6,574.0,Maria Regina Willers
39,1,ANAHY - UVR 01,Anahy,2025-03-11,2025-01-01,5708.6,3976.7,1284.9,8.05,1.95,10.0,5,2343.48,Willian de Oliveira Lino
39,1,ANAHY - UVR 01,Anahy,2025-02-26,2024-11-01,9111.85,4978.78,1000.0,9.787,0.0,9.787,5,3129.24,Willian de Oliveira Lino
39,1,ANAHY - UVR 01,Anahy,2025-04-15,2005-03-01,7212.79,11280.5,7560.54,10.03,2.9,12.93,6,2452.51,Willian de Oliveira Lino
39,1,ANAHY - UVR 01,Anahy,2025-06-09,2025-05-01,6361.95,14438.5,7651.73,9.14,2.59,11.73,5,2944.41,Willian de Oliveira Lino
39,1,ANAHY - UVR 01,Anahy,2025-03-10,2025-02-01,8409.669999999998,5221.4,1284.0,11.2906,2.92,14.2106,5,3105.57,Willian de Oliveira Lino
39,1,ANAHY - UVR 01,Anahy,2025-03-11,2024-12-01,6781.88,4878.74,1226.6,9.78,2.59,12.367249999999999,5,2910.82,Willian de Oliveira Lino
39,1,ANAHY - UVR 01,Anahy,2025-05-13,2025-04-01,6333.46,14613.4,7539.57,27.16,2.59,29.75,5,3052.68,Willian de Oliveira Lino
75,1,APUCARANA - UVR 01,Apucarana,2025-03-12,2025-02-01,144529.38999999998,118381.75,203674.69000000003,166.89939999999999,28.0,194.89939999999999,58,1518.0,Amanda Tayara Ribeiro da Silva
75,1,APUCARANA - UVR 01,Apucarana,2025-02-06,2025-01-01,114402.48,157622.1,169773.12,99.2759,28.24,127.51589999999999,58,1612.0,Amanda Tayara Ribeiro da Silva
75,1,APUCARANA - UVR 01,Apucarana,2025-06-04,2025-03-01,0.0,116487.25,1.0,0.0,0.01,0.01,58,1518.0,Rayra Emanuelly da Costa
20,1,ASSIS CHATEAUBRIAND - UVR 01,Assis Chateaubriand,2025-02-26,2024-11-01,45821.36000000001,17562.84,1870.37,42.954,20.65,63.604,35,1936.56,Gisele Cássia Tamparowky de Oliveira
76,1,ATALAIA - UVR 01,Atalaia,2025-03-05,2025-02-01,12354.960000000001,6950.0,2950.0,14.0546,6.03,20.0866,5,3200.0,Vagner Perseti Alves
76,1,ATALAIA - UVR 01,Atalaia,2025-06-04,2025-05-01,5617.1,6750.0,2950.0,6.304399999999999,3.68,9.984399999999999,4,1904.0,Vagner Perseti Alves
76,1,ATALAIA - UVR 01,Atalaia,2025-05-08,2025-04-01,9031.35,6750.0,2950.0,9.08,4.17,13.25,4,2730.0,Vagner Perseti Alves
76,1,ATALAIA - UVR 01,Atalaia,2025-02-10,2025-01-01,10480.77,2000.0,2950.0,9.481729999999999,3.98,13.46173,5,2500.0,Vagner Perseti Alves
76,1,ATALAIA - UVR 01,Atalaia,2025-04-02,2025-03-01,6140.5,6950.0,2950.0,5.6595,4.2,9.8555,5,1700.0,Vagner Perseti Alves
77,1,BARRACÃO - UVR 01,Barracão,2025-06-05,2025-05-01,16728.2,0.0,1499.0,17.880599999999998,0.0,17.880599999999998,12,1269.1,Tania Grespan
77,1,BARRACÃO - UVR 01,Barracão,2025-05-08,2025-04-01,13433.81,0.0,1871.56,12.9279,0.0,12.9279,9,1284.69,Tania Grespan
77,1,BARRACÃO - UVR 01,Barracão,2025-04-08,2025-03-01,11655.43,0.0,1387.9099999999999,9.4067,0.0,9.4067,10,1060.0,Tania Grespan
77,1,BARRACÃO - UVR 01,Barracão,2025-03-10,2025-02-01,16713.6,0.0,1206.0,15.8706,0.0,15.8706,10,1342.0,Tania Grespan
77,1,BARRACÃO - UVR 01,Barracão,2025-02-06,2025-01-05,25818.57,0.0,1430.0,26.6627,0.0,26.6627,10,1500.0,Tania Grespan
71,1,BELÉM - UVR 01 - ARAL,Belém,2025-03-24,2025-02-01,40577.56,31000.0,15851.72,47.648300000000006,4.15,51.795300000000005,25,1206.0,Ana Luiza de Araujo e Silva
70,2,BELÉM - UVR 02 - ACCSB,Belém,2025-03-06,2025-02-01,35555.03,30000.0,10420.49,47.8696,2.8,50.669599999999996,31,500.0,Herlem Carlen Ferro
71,1,BELÉM - UVR 01 - ARAL,Belém,2025-06-18,2025-05-01,24772.95,31000.0,321214.65,35.19,2.24,37.43,25,1200.0,Ana Luiza de Araujo e Silva
69,3,BELÉM - UVR 03 - CONCAVES,Belém,2025-06-12,2025-05-01,16021.2,11363.0,9077.81,26.21,1.73,27.94,14,1304.3,Monica Goreth Costa Ribeiro
72,4,BELÉM - UVR 04 - FILHOS DO SOL,Belém,2025-06-06,2025-05-01,26328.97,0.0,2619.48,47.93,7.43,55.36,10,2166.36,Thiago da Silva Santos
72,4,BELÉM - UVR 04 - FILHOS DO SOL,Belém,2025-03-12,2025-01-01,18767.5,32596.43,2985.52,38.6974,13.2,51.897400000000005,12,1824.32,Thiago da Silva Santos
71,1,BELÉM - UVR 01 - ARAL,Belém,2025-05-12,2025-04-01,14750.41,31000.0,28539.41,22.31,3.17,25.48,25,1200.0,Ana Luiza de Araujo e Silva
70,2,BELÉM - UVR 02 - ACCSB,Belém,2025-05-10,2025-04-01,23653.9,30340.0,29754.4,43.89,4.94,48.83,34,620.0,Herlem Carlen Ferro
