ObjectID,Município,UVR Número,Data de referência,Número de catadores na UVR no mês da data de referência,Observações,Receita venda recicláveis,Receita prestação serviços,Despesas,Quantidade de recicláveis vendidos (kg),Rejeito (kg),Renda média catadores,x,y
1364805,Nova Aurora,01,15/4/2025,11,,32303.7,11437.65,3075.13,32679.22,9800,2848.33,-53.294780597,-24.516629910000006
1335605,Altônia,01,15/3/2025,15,tudo será 15,1000,0,15,60,0,1500,-54.59669766799999,-25.435524325000017
1364005,Cascavel,02,15/2/2025,30,,82214,0,4317.27,102666.03,15637,2344.75,-53.44413192799999,-24.919257957000013
1335606,Altônia,01,15/2/2025,20,(2 envio) tudo será 20,1000,15000,50,75,500,2000,-54.59669766799999,-25.435524325000017
1363605,Iracema do Oeste,01,15/2/2025,6,,10689.75,16299.48,1659,9660.1,1750,2997.98,-53.36070327300001,-24.431160734000002
1364405,Nova Aurora,01,15/2/2025,11,,29024.98,10662.4,3723.44,30545.45,9800,3339.62,-53.29467253600001,-24.516564275999997
1363205,Missal,01,15/2/2025,21,rateio mais bonificacao prefeitura ,63150.05,20891.5,4985.3,58394.8,13741,459082,-54.253815831,-25.087379139999996
1362805,Terra Roxa,01,15/2/2025,16,,34003.34,34034.94,365,41889.1,15700,2300,-54.120710187999975,-24.18071031599999
1360005,Diamante do Sul,01,15/1/2025,1,,3597.1,0,1280,1935,0,3597.1,-52.679757626000026,-25.044683005000024
1360405,Guaraniacu,01,15/1/2025,12,,38109.61,15834.44,5031.49,49337.75,18920,3490,-52.85147899999998,-25.11764899999997
1360805,Foz do Iguaçu,06,15/1/2025,19,"1943,48",50035,40307.67,18148.15,54742,8450,1943.48,-54.54870510000001,-25.49296559999999
1361205,Santa Tereza do Oeste,01,15/1/2025,5,,13052.7,0,3000,12615,5800,2300,-53.591723941,-25.038541581000004
1361206,Céu Azul,01,15/1/2025,15,,91930.8,7290,1393,57612,7922,1973.49,-53.860971284000016,-25.14495769199999
1361605,Braganey,01,15/1/2025,10,,21017.25,25863.85,752,19870,1659,1448,-53.11863499999998,-24.837774500000023
1362005,Nova Aurora,01,15/1/2025,12,,37872.25,13190.45,7270.58,37929.37,9800,3061.32,-53.29467066900003,-24.51664079599999
1358405,Campo Bonito,01,15/1/2025,8,,19287.77,0,7205.23,19382.5,5030,3492,-52.99001504300003,-25.026067850000004
1358005,Entre Rios do Oeste,01,15/1/2025,13,,21702.08,9451.39,2581.88,21313.2,3895,3343.34,-54.23237226499998,-24.689357900000005
1356405,Diamante d'Oeste,01,15/1/2025,14,2660 KG DE METAL FOI DOADO PELA PREFEITURA E NAO ENTROU NA NOTA DO CONTRATO,18944.91,14535.36,6026.07,24406.3,3745.86,2100,-54.100306434000004,-24.93221027300001
1353208,Medianeira,01,15/1/2025,46,,101669.62,96445.37,12357.92,119486.4,26460,3758.01,-54.07022466699999,-25.317549999999983
1353207,Ubirata,01,15/1/2025,15,,18277.2,7642.4,2225.5,16592,100000,1720.68,-53.01369999999997,-24.508199999999988
1353206,Foz do Iguaçu,02,15/1/2025,17,Valores referentes ao mês de janeiro/2025.,38651.35,40885.41,40885.41,43574,6400,2279.99,-54.60620247700001,-25.46049592600002
