municipio,uvr,regional_form_ps,data_envio_form_ps,regional_form_lr,data_envio_form_lr,regional_form_os,data_envio_form_os
 Alto Paraná,1,---,---,---,---,---,---
 Amaporã,1,---,---,---,---,---,---
Apucarana,1,---,---,---,---,---,---
Atalaia,1,---,---,---,---,---,---
Barracão,1,---,---,---,---,---,---
Borrazópolis,1,---,---,---,---,---,---
Cambará,1,---,---,---,---,---,---
Campina da Lagoa,1,---,---,---,---,---,---
Campo Largo,1,---,---,---,---,---,---
Campo Largo,2,---,---,---,---,---,---
Campo Largo,3,---,---,---,---,---,---
Campo Largo,4,---,---,---,---,---,---
Campo Largo,5,---,---,---,---,---,---
Campo Magro,1,---,---,---,---,---,---
Capanema,1,---,---,---,---,---,---
Cerro Azul,1,---,---,---,---,---,---
Colorado,1,---,---,---,---,---,---
Coronel Vivida,1,---,---,---,---,---,---
Cruzeiro do Sul,1,---,---,---,---,---,---
Enéas Marques,1,---,---,---,---,---,---
Francisco Beltrão,1,---,---,---,---,---,---
Francisco Beltrão,2,---,---,---,---,---,---
Francisco Beltrão,3,---,---,---,---,---,---
General Carneiro,1,---,---,---,---,---,---
Ibaiti,1,---,---,---,---,---,---
Jaguapitã,1,---,---,---,---,---,---
Jaguariaíva,1,---,---,---,---,---,---
Jardim Alegre,1,---,---,---,---,---,---
Kaloré,1,---,---,---,---,---,---
Lapa,1,---,---,---,---,---,---
Laranjeiras do Sul,1,---,---,---,---,---,---
Mandaguaçu,1,---,---,---,---,---,---
Mandaguari,1,---,---,---,---,---,---
Marmeleiro,1,---,---,---,---,---,---
Mato Rico,1,---,---,---,---,---,---
Nova Tebas,1,---,---,---,---,---,---
Ortigueira,1,---,---,---,---,---,---
Palmital,1,---,---,---,---,---,---
Paraíso do Norte,1,---,---,---,---,---,---
Presidente Castelo Branco,1,---,---,---,---,---,---
Quedas do Iguaçu,1,---,---,---,---,---,---
Realeza,1,---,---,---,---,---,---
Reserva do Iguaçu,1,---,---,---,---,---,---
Ribeirão Claro,1,---,---,---,---,---,---
Rio Branco do Sul,1,---,---,---,---,---,---
Rio Branco do Sul,2,---,---,---,---,---,---
Rio Negro,1,---,---,---,---,---,---
Salgado Filho,1,---,---,---,---,---,---
Santa Maria do Oeste,1,---,---,---,---,---,---
Santa Mariana,1,---,---,---,---,---,---
Santa Mônica,1,---,---,---,---,---,---
Santana do Itararé,1,---,---,---,---,---,---
São João,1,---,---,---,---,---,---
São João do Caiuá,1,---,---,---,---,---,---
São João do Ivaí,1,---,---,---,---,---,---
São João do Triunfo,1,---,---,---,---,---,---
Tijucas do Sul,1,---,---,---,---,---,---
